title,streams,daily_streams
Bohemian Rhapsody ,2586810038,889510
Don't Stop Me Now ,2093779737,1096372
Another One Bites The Dust ,1969519924,974913
Under Pressure ,1701657112,839432
We Will Rock You ,1370128882,670259
Crazy Little Thing Called Love ,966398689,858864
Somebody To Love ,924068277,340310
Killer Queen ,884972825,497000
We Are The Champions ,745211702,299505
I Want To Break Free ,643388883,231233
Radio Ga Ga ,591641050,274764
Love Of My Life ,473461876,179437
The Show Must Go On ,432563391,157310
You're My Best Friend ,369773339,187417
Good Old-Fashioned Lover Boy ,349099632,188553
Fat Bottomed Girls ,313494062,123136
A Kind Of Magic ,277266425,164007
Thank God It's Christmas ,255744688,12032
I Want It All ,200795263,76971
Bicycle Race ,158012211,46780
